Dataset,Size,TP,TN,FP,FN
1,5,3,5,0,1
1,10,3,5,0,1
1,15,3,5,0,1
1,20,3,5,0,1
1,25,3,5,0,1
1,30,3,5,0,1
1,35,3,5,0,1
1,40,3,5,0,1
1,45,3,5,0,1
1,50,3,5,0,1
1,55,3,5,0,1
1,60,3,5,0,1
1,65,4,5,0,0
1,70,3,5,0,1
1,75,4,5,0,0
1,80,4,5,0,0
1,85,4,5,0,0
1,90,4,5,0,0
1,95,4,5,0,0
1,100,4,5,0,0
2,5,3,5,0,1
2,10,3,5,0,1
2,15,3,5,0,1
2,20,3,5,0,1
2,25,3,5,0,1
2,30,3,5,0,1
2,35,3,5,0,1
2,40,3,5,0,1
2,45,3,5,0,1
2,50,4,5,0,0
2,55,4,5,0,0
2,60,4,5,0,0
2,65,4,5,0,0
2,70,4,5,0,0
2,75,4,5,0,0
2,80,4,5,0,0
2,85,4,5,0,0
2,90,4,5,0,0
2,95,4,5,0,0
2,100,4,5,0,0
3,5,3,5,0,1
3,10,3,5,0,1
3,15,3,5,0,1
3,20,3,5,0,1
3,25,3,5,0,1
3,30,3,5,0,1
3,35,3,5,0,1
3,40,3,5,0,1
3,45,3,5,0,1
3,50,3,5,0,1
3,55,3,5,0,1
3,60,3,5,0,1
3,65,3,5,0,1
3,70,3,5,0,1
3,75,3,5,0,1
3,80,3,5,0,1
3,85,3,5,0,1
3,90,3,5,0,1
3,95,3,5,0,1
3,100,3,5,0,1
